discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code,game_location,game_name,game_season,game_year
Canoe Sprint,Men's Kayak Four 500m,Men,BRONZE,GameTeam,Slovakia,,,Slovakia,SK,SVK,Japan,Tokyo 2020,Summer,2020
Canoe Sprint,Women's Kayak Four 500m,Women,GOLD,GameTeam,Hungary,,,Hungary,HU,HUN,Japan,Tokyo 2020,Summer,2020
Canoe Sprint,Women's Kayak Four 500m,Women,SILVER,GameTeam,Belarus,,,Belarus,BY,BLR,Japan,Tokyo 2020,Summer,2020
Canoe Sprint,Women's Kayak Four 500m,Women,BRONZE,GameTeam,Poland,,,Poland,PL,POL,Japan,Tokyo 2020,Summer,2020
Football,Women,Women,GOLD,GameTeam,Canada,,,Canada,CA,CAN,Japan,Tokyo 2020,Summer,2020
Football,Women,Women,SILVER,GameTeam,Sweden,,,Sweden,SE,SWE,Japan,Tokyo 2020,Summer,2020
Football,Women,Women,BRONZE,GameTeam,United States,,,USA,US,USA,Japan,Tokyo 2020,Summer,2020
Football,Men,Men,GOLD,GameTeam,Brazil,,,Brazil,BR,BRA,Japan,Tokyo 2020,Summer,2020
Football,Men,Men,SILVER,GameTeam,Spain,,,Spain,ES,ESP,Japan,Tokyo 2020,Summer,2020
Football,Men,Men,BRONZE,GameTeam,Mexico,,,Mexico,MX,MEX,Japan,Tokyo 2020,Summer,2020
Artistic Swimming,Team,Women,GOLD,GameTeam,ROC,,,ROC,ROC,ROC,Japan,Tokyo 2020,Summer,2020
Artistic Swimming,Team,Women,SILVER,GameTeam,China,,,China,CN,CHN,Japan,Tokyo 2020,Summer,2020
Artistic Swimming,Team,Women,BRONZE,GameTeam,Ukraine,,,Ukraine,UA,UKR,Japan,Tokyo 2020,Summer,2020
Handball,Men,Men,GOLD,GameTeam,France,,,France,FR,FRA,Japan,Tokyo 2020,Summer,2020
Handball,Men,Men,SILVER,GameTeam,Denmark,,,Denmark,DK,DEN,Japan,Tokyo 2020,Summer,2020
Handball,Men,Men,BRONZE,GameTeam,Spain,,,Spain,ES,ESP,Japan,Tokyo 2020,Summer,2020
Handball,Women,Women,GOLD,GameTeam,France,,,France,FR,FRA,Japan,Tokyo 2020,Summer,2020
Handball,Women,Women,SILVER,GameTeam,ROC,,,ROC,ROC,ROC,Japan,Tokyo 2020,Summer,2020
Handball,Women,Women,BRONZE,GameTeam,Norway,,,Norway,NO,NOR,Japan,Tokyo 2020,Summer,2020
Rugby Sevens,Men,Men,GOLD,GameTeam,Fiji,,,Fiji,FJ,FIJ,Japan,Tokyo 2020,Summer,2020
Rugby Sevens,Men,Men,SILVER,GameTeam,New Zealand,,,New Zealand,NZ,NZL,Japan,Tokyo 2020,Summer,2020
Rugby Sevens,Men,Men,BRONZE,GameTeam,Argentina,,,Argentina,AR,ARG,Japan,Tokyo 2020,Summer,2020
Rugby Sevens,Women,Women,GOLD,GameTeam,New Zealand,,,New Zealand,NZ,NZL,Japan,Tokyo 2020,Summer,2020
Rugby Sevens,Women,Women,SILVER,GameTeam,France,,,France,FR,FRA,Japan,Tokyo 2020,Summer,2020
Rugby Sevens,Women,Women,BRONZE,GameTeam,Fiji,,,Fiji,FJ,FIJ,Japan,Tokyo 2020,Summer,2020
Triathlon,Mixed Relay,Mixed,GOLD,GameTeam,Great Britain,,,Great Britain,GB,GBR,Japan,Tokyo 2020,Summer,2020
